Time (yr)	Density (3.5e-18 g cm-3)	Pressure (3.5e-02 dyne/cm2)	Velocity (1e8 cm/s)
 0.000000e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 4.737533e-01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 9.479914e-01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.421838e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.896176e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.370035e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.844086e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 3.318271e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 3.792286e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 4.266308e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 4.740287e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 5.214414e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 5.688357e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 6.162314e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 6.636617e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 7.110484e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 7.584716e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 8.058588e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 8.532578e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 9.006829e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 9.480686e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 9.954743e+00	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.042879e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.090308e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.137699e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.185080e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.232522e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.279926e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.327321e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.374695e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.422128e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.469517e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.516945e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.564355e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.611739e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.659133e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.706530e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.753968e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.801346e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.848751e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.896175e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.943565e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 1.990961e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.038358e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.085797e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.133176e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.180586e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.227974e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.275382e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.322807e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.370193e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.417636e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.465031e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.512424e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.559810e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.607236e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.654647e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.702039e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.749459e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.796852e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.844267e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
 2.891647e+01	 6.685714e-07	 9.027692e-11	 0.000000e+00
